Time[S],Voltage[V]
00:03:46,1.868
00:03:46,1.868
00:03:46,1.940
00:03:47,1.940
00:03:47,1.932
00:03:47,1.784
00:03:47,1.912
00:03:48,1.916
00:03:48,1.916
00:03:48,1.916
00:03:48,1.988
00:03:49,1.988
00:03:49,1.984
00:03:49,1.984
00:03:49,1.984
00:03:50,1.984
00:03:50,1.916
00:03:50,1.996
00:03:50,1.992
00:03:51,1.996
00:03:51,1.992
00:03:51,2.000
00:03:51,2.092
00:03:52,2.088
00:03:52,2.088
00:03:52,2.088
00:03:52,2.080
00:03:53,2.080
00:03:53,2.160
00:03:53,2.160
00:03:53,2.160
00:03:54,2.152
00:03:54,2.160
00:03:54,2.232
00:03:54,2.228
00:03:55,2.232
00:03:55,2.232
00:03:55,2.304
00:03:55,2.304
00:03:56,2.304
00:03:56,2.380
00:03:56,2.380
00:03:56,2.448
00:03:57,2.452
00:03:57,2.452
00:03:57,2.544
00:03:57,2.620
00:03:58,2.608
00:03:58,2.616
00:03:58,2.700
00:03:58,2.700
00:03:59,2.704
00:03:59,2.616
00:03:59,2.620
00:03:59,2.532
00:04:00,2.528
00:04:00,2.436
00:04:00,2.440
00:04:00,2.352
00:04:01,2.280
00:04:01,2.280
00:04:01,2.204
00:04:01,2.208
00:04:02,2.132
00:04:02,2.136
00:04:02,2.136
00:04:02,2.064
00:04:03,1.984
00:04:03,1.984
00:04:03,1.984
00:04:03,1.892
00:04:04,1.888
00:04:04,1.884
00:04:04,1.808
00:04:04,1.808
00:04:05,1.732
00:04:05,1.736
00:04:05,1.736
00:04:05,1.652
00:04:06,1.652
00:04:06,1.648
00:04:06,1.544
00:04:06,1.548
00:04:07,1.548
00:04:07,1.456
00:04:07,1.452
00:04:07,1.452
00:04:08,1.368
00:04:08,1.368
00:04:08,1.364
00:04:08,1.372
00:04:09,1.296
00:04:09,1.300
00:04:09,1.216
00:04:09,1.216
00:04:10,1.136
00:04:10,1.136
00:04:10,1.136
00:04:10,1.136
00:04:11,1.064
00:04:11,1.064
00:04:11,1.064
00:04:12,0.980
00:04:12,0.976
00:04:12,0.908
00:04:12,0.908
00:04:13,0.836
00:04:13,0.836
00:04:13,0.832
00:04:13,0.832
00:04:14,0.904
00:04:14,0.912
00:04:14,0.908
00:04:14,0.912
00:04:15,0.908
00:04:16,0.908
00:04:16,0.912
00:04:17,0.908
00:04:17,0.908
00:04:17,0.976
00:04:17,0.984
00:04:18,0.976
00:04:18,1.052
00:04:18,1.052
00:04:18,1.052
00:04:19,1.124
00:04:19,1.120
00:04:19,1.192
00:04:19,1.192
00:04:20,1.192
00:04:20,1.264
00:04:20,1.284
00:04:20,1.336
00:04:21,1.328
00:04:21,1.336
00:04:21,1.404
00:04:21,1.404
00:04:22,1.476
00:04:22,1.480
00:04:22,1.544
00:04:22,1.540
00:04:23,1.616
00:04:23,1.612
00:04:23,1.616
00:04:23,1.696
00:04:24,1.768
00:04:24,1.768
00:04:24,1.768
00:04:24,1.856
00:04:25,1.852
00:04:25,1.948
00:04:25,1.948
00:04:25,2.016
00:04:26,2.016
00:04:26,2.084
00:04:26,2.084
00:04:26,2.084
00:04:27,2.016
00:04:27,2.016
00:04:27,2.016
